,Text,Classification
55,Has anyone tried the new Operation co-op mode?,0
56,What's the most memorable match you've ever played?,0
57,Who's the best AWPer you've ever played against?,0
58,What's the best grenade trick you've ever pulled off?,0
59,"I'm always in the mood for some fun custom maps, anyone have recommendations?",0
60,What crosshair do you guys use?,0
61,Anyone got any funny CSGO memes to share?,0
62,"I'm in the mood for some scout only matches, anyone else?",0
63,What's the best thing about playing CSGO?,0
64,How do you guys usually deal with cheaters in your matches?,0
65,What's the most you've ever spent on CSGO skins?,0
66,"I'm enjoying playing as the new FAMAS, how about you guys?",0
67,Who's played CSGO on a LAN event before?,0
68,"I just got a 5k with a Negev, I can't stop laughing!",0
69,Who's the best IGL you've ever played with?,0
70,What's the biggest comeback you've ever witnessed in a match?,0
71,What's the worst ping you've ever played with?,0
72,"I just got an ace with the CZ-75, can't believe I pulled it off!",0
73,Who prefers playing on 4:3 aspect ratio?,0
74,Has anyone tried the new recent VAC waves yet?,0
75,What's your favorite CSGO map for practicing aim?,0
76,What's your favorite CSGO map for playing with friends?,0
77,What's your favorite CSGO map for playing competitive matches?,0
78,Who's your favorite CSGO pro player and why?,0
79,What's the best steam sale deal you've ever gotten for CSGO items?,0
80,Who's the most toxic player you've ever played with?,0
81,What's the most annoying CSGO bug you've ever encountered?,0
82,What do you think of the recent changes to the matchmaking system?,0
83,What's your favorite CSGO montage video?,0
84,Who prefers playing with a controller?,0
85,What do you think of the new Operation pass price?,0
86,Who's the best entry fragger you've ever played with?,0
87,What's the most annoying thing about playing CSGO?,0
88,Who's the worst AWPer you've ever played against?,0
89,Who plays better when streaming their matches?,0
90,What's your favorite custom bot AI mode to play?,0
91,Who's the most supportive teammate you've ever played with?,0
92,What's the most ridiculous CSGO dream you've ever had?,0
93,Who loves blasting enemies with a shotgun?,0
94,Who needs a wingman partner for tonight?,0
95,What skins would you like to see in future cases?,0
96,What's the hardest move you've ever pulled off in a match?,0
97,Who thinks CSGO skins are overpriced?,0
98,What's your favorite CSGO betting website?,0
99,Who's the best clutch player you've ever played with?,0
100,What's the hottest streak you've ever been on?,0
101,Who's the worst fragger you've ever played with?,0
102,What's the most bittersweet match you've ever played?,0
103,What's the most successful eco strat you've ever done?,0
104,What's the easiest way to rank up in 2021?,0
105,Who's the most friendly pro player you've ever met?,0
106,What's the best way to deal with a toxic player?,0
107,Who's played during an event with a CSGO pro player before?,0
108,What's the most important thing you learned playing CSGO?,0
109,Who's the best lurker you've ever played with?,0
110,Who's the worst player you've ever played against?,0
111,What's the best map change you've ever seen happen?,0
112,What's the most ridiculous skin combo you've ever seen?,0
113,Have you ever played CSGO competitively before?,0
114,Who's the worst teammate you've ever played with?,0
115,What's the most iconic moment in CSGO history?,0
116,What's the most memorable match for you in CSGO?,0
117,Who's the most underrated CSGO pro player in your opinion?,0
118,What's the most memorable nade kill you've ever done?,0
119,What's the funniest thing to ever happen to you in CSGO?,0
120,Who's excited for the new Source 2 engine update?,0
121,Who's the best support player you've ever played with?,0
122,What's the most clutch moment you've ever experienced?,0
123,Who's the worst IGL you've ever played with?,0
124,What's the funniest map exploit you've ever encountered?,0
125,What's the most memorable game-winning moment you've had?,0
126,What's the most successful boost strat you've ever done?,0
127,Who's the best pistol player you've ever played with?,0
128,What's the most ridiculous map exploit you've ever encountered?,0
129,What's the most successful rush strat you've ever done?,0
130,Who's the most memorable CSGO coach you've ever had?,0
131,What's the most important advice you'd give a newcomer to CSGO?,0
132,Who's the most clutch AWPer you've ever played with?,0
133,What's the most ridiculous item in your CSGO inventory?,0
134,What's the most important role in a CSGO team?,0
135,Who's the best smoke line-up expert you've ever played with?,0
136,What's the most ridiculous CSGO video you've ever seen?,0
137,What's the most memorable nade fail you've ever done?,0
138,"Hey guys, want free skins? Check out this site!",1
140,Trade me your best skin and I'll give you two even better ones!,1
142,I'm quitting csgo and giving away all of my skins for free!,1
144,Join our giveaway for a chance to win a knife skin worth $100!,1
146,I'm a csgo developer and I'm giving away exclusive skins!,1
148,Looking for a trustworthy middleman? Look no further!,1
150,I'm selling my entire csgo inventory for 50% off!,1
152,Get a free knife skin by sharing this post with your friends!,1
154,I'm a popular streamer and I'm giving away skins to my followers!,1
156,Join our discord server to win free skins!,1
158,"I have a lot of spare skins, trade me and I'll give you a great deal!",1
160,"I'm giving away a rare sticker capsule, join our server to enter!",1
162,"I'm a csgo pro player, and I'm giving away my signed skins for free!",1
164,I'm quitting csgo and selling all of my skins for dirt cheap!,1
166,Get a free knife skin by signing up to our scam website!,1
168,Join our discord for daily skin giveaways!,1
170,"I'm selling my expensive inventory for cheap, grab a deal now!",1
172,"I can duplicate any skin you want, trade me to learn how!",1
174,Enter our csgo lottery for a chance to win big!,1
176,"I'm selling my red knife for 75% off, act fast!",1
178,Trade me your cheap skins and I'll give you a knife!,1
180,Join our skin betting discord to win big!,1
182,I'm a csgo admin and I'll give you exclusive skins for free!,1
184,I'm quitting csgo and selling all of my expensive skins for dirt cheap!,1
186,Join our server for a chance to win better skins than you have!,1
188,Trade me and I'll make you rich with great skins!,1
190,"I'm giving away a rare knife, join our server to learn how!",1
192,"I'm a popular streamer, follow me for a chance to win free skins!",1
194,Join our discord betting server for a chance to win big!,1
196,I'll trade you a knife skin for your cheap skins!,1
198,"I'm selling my entire inventory for 25% off, grab a deal now!",1
200,Join our discord and gamble with your skins!,1
202,Get a free knife skin by clicking this link!,1
204,"I'm a well-known trader, trade me and I'll give you a great deal!",1
206,I'm quitting csgo and am giving away my entire inventory!,1
208,Join our server for daily giveaways and skin competitions!,1
210,"I'm selling my rare skins for dirt cheap, act fast!",1
212,"I'm a csgo admin that can give you exclusive skins, trade me!",1
214,I'm giving away my entire csgo inventory for free!,1
216,Join our server and enter our massive skin raffle!,1
218,"I'm selling my expensive skins for 75% off, act fast!",1
220,Trade me your skins and I'll give you better ones back!,1
222,"I'm a popular streamer, join my server to win skins!",1
224,Join our discord for daily betting opportunities!,1
226,I'll trade you a knife skin for skins of equal value!,1
228,"I'm selling my red knife for a great deal, contact me now!",1
230,I'm quitting csgo and selling all of my skins for 90% off!,1
232,Join our server and win exclusive skins not found anywhere else!,1
234,"I'm a csgo pro player, follow me for a chance to win rare skins!",1
236,"I'm giving away a rare csgo sticker, join our server to enter!",1
238,Join our discord and get rich off of your skins!,1
240,Trade me your cheap skins and I'll give you a great deal!,1
242,I'm quitting csgo and selling all of my skins for next to nothing!,1
244,Join our skin betting discord server and win big!,1
246,I'll trade you a rare skin for other high-tier skins!,1
248,Join our server and win even better skins than you already have!,1
250,I'm a popular streamer and I'm giving away skins to my followers!,1
252,"I'm selling my entire csgo inventory for 90% off, act fast!",1
254,Join our discord and enter our massive csgo skin giveaway!,1
256,"I'm a csgo admin and I can give you exclusive skins, trade me!",1
258,"I'm giving away a rare knife skin, join our server to enter!",1
260,Trade me and I'll give you rare skins worth more than yours!,1
262,I'm quitting csgo and selling all of my skins for cheap!,1
264,Join our server and become a skin betting pro!,1
266,I'm selling my expensive inventory for dirt cheap!,1
268,"I'm a popular streamer, join my server and win skins!",1
270,Join our discord server and enter our csgo giveaway!,1
272,I'll trade you a knife skin for your expensive skins!,1
274,I'm quitting csgo and giving away all of my skins for free!,1
276,Join our server for daily skin betting competitions!,1
278,Get a free knife skin by following this link!,1
280,"I'm selling my rare skins for cheap, act fast!",1
282,I'm a csgo admin and I can give you exclusive skins for free!,1
284,"Join our server and win free, exclusive skins not found anywhere else!",1
286,I'm giving away my entire csgo inventory for free!,1
288,Enter our server and win a rare knife skin!,1
290,Trade me and I'll give you skins of equal or greater value!,1
292,I'm quitting csgo and selling all of my expensive skins for dirt cheap!,1
294,Join our discord and get rich off of your skins!,1
296,"I'm selling my red knife for a great deal, act fast!",1
298,"I'm a popular streamer, join my server for a chance to win free skins!",1
300,Join our server and enter our massive skin raffle!,1
302,Trade me and I'll give you a better skin for yours!,1
304,I'm quitting csgo and selling my entire inventory for next to nothing!,1
306,Join our csgo skin betting discord and win big!,1
308,I'll trade you a rare knife skin for other rare skins!,1
310,Join our server and win skins worth more than yours!,1
312,"I'm selling my entire inventory for dirt cheap, act fast!",1
314,"I'm a popular streamer, follow me and win exclusive skins!",1
316,Join our server and enter our massive csgo skin giveaway!,1
318,"I'm giving away a rare sticker capsule, join our server to enter!",1
320,Get a free knife skin by clicking this link!,1
322,"I'm selling my expensive inventory for dirt cheap, grab a deal now!",1
324,Join our discord server and become a skin betting pro!,1
326,Trade me your cheap skins and I'll give you a great deal!,1
328,I'm quitting csgo and selling all of my skins for 75% off!,1
330,"I'm a csgo admin and I can give you exclusive skins, trade me!",1
332,Join our server for daily betting opportunities and giveaways!,1
334,"I'm giving away a rare knife, join our server to enter!",1
336,I'll trade you a knife skin for your expensive skins!,1
